Rank,Name,Age,Team,MP,Tot_Stats,OR%,DR%,TR%,ST%,BLK%,AST%,USG%,TO%,TS%,gBPM,BPM,VORP,L of Im,Q of Im,WinC,Value,Pos
427,Jalen McDaniels,22,CHO,293,5.384656686,5.4,19.9,12.3,1.3,1,6.8,13.3,0.124,0.574,4.5,-4.3,-0.2,0.3,-0.5,-0.2,2.6,PF
428,Juan Toscano-Anderson,26,GSW,272,5.836429448,3.4,17.3,10.1,2.1,1.5,13.8,12.7,0.197,0.529,5.5,-3.7,-0.1,0.2,-2.8,-0.6,2.6,SF
429,Ryan Broekhoff,29,DAL,180,4.576603967,3.2,22.7,13.3,1.5,2.2,8.3,16.3,0.088,0.568,5.4,2,0.2,0.5,1,0.5,2.5,SG
430,Maurice Harkless,26,NYK,286,4.916530825,2.8,11.8,7.2,1.5,0.9,9.7,12.4,0.084,0.536,5.3,-3.8,-0.1,0.3,0.1,0,2.5,SF
431,Kevon Looney,23,GSW,262,5.785294732,10.9,15.8,13.3,2,1.9,11.1,15.7,0.125,0.403,4,-5.2,-0.2,0.2,-3.6,-0.7,2.5,C
432,Bruno Caboclo,24,MEM,192,5.245287827,9.8,15.1,12.5,2.6,5.3,7.1,16.8,0.091,0.441,5.5,0.5,0.1,0.3,-1.7,-0.5,2.4,C
433,Zach Collins,22,POR,290,5.129997763,9.5,16.6,13,0.8,1.5,7.2,12.5,0.164,0.538,4.7,-0.7,0.1,0.5,-1.1,-0.6,2.3,PF
434,Justin James,23,SAC,232,5.115056199,2.8,12.5,7.6,1.2,3.4,11.2,18.9,0.079,0.477,1.8,-5.4,-0.2,0.2,-2.5,-0.5,2.3,SG
435,Ty Jerome,22,PHO,328,6.861422193,2.2,12.8,7.4,2.2,0.8,18.2,17.9,0.13,0.425,1.4,-4.5,-0.2,0.7,-3.5,-2.3,2.3,PG
436,Derrick Walton,24,LAC,222,2.851251251,0.9,6,3.5,0.9,0,12.6,8.3,0.091,0.626,2.5,-1.9,0,0.4,5,1.8,2.3,PG
437,Juan Hernangómez,24,DEN,422,7.092396694,6.5,19.2,12.8,0.6,1.1,6.7,14.3,0.129,0.442,1,-4.5,-0.3,1,-2.7,-2.7,2.2,PF
438,Brandon Knight,28,DET,221,4.725163121,0.5,10,5,1,0.4,25.6,22.2,0.196,0.576,3.7,-3.8,-0.1,0.2,-2,-0.4,2.2,PG
439,Thanasis Antetokounmpo,27,MIL,129,3.022483057,9.8,8.7,9.2,2.5,1.4,16.3,21.6,0.178,0.496,2.8,-1.9,0,0.7,1.8,1.2,2.1,SF
440,Dragan Bender,22,GSW,195,4.694221519,8.3,20.7,14.3,0.9,1.7,15.2,20.1,0.174,0.534,5.6,-3.6,-0.1,0.1,-2.6,-0.4,2.1,SF
441,DeMarre Carroll,33,HOU,155,3.561357326,3.5,13.2,8.4,1.9,1.7,12.2,14.3,0.13,0.578,5.7,-0.2,0.1,0.4,1.4,0.6,2.1,PF
442,Jacob Evans,22,GSW,414,6.196079034,2.2,8.4,5.2,1.2,2.4,10.9,17.6,0.146,0.439,0.5,-8.7,-0.7,0.3,-6.2,-2,2.1,SG
443,Chimezie Metu,22,SAS,105,3.993891031,12.1,20.8,16.5,1.3,4.6,14.9,23.7,0.173,0.608,6.2,-0.7,0,0.2,1.2,0.2,2.1,PF
444,Markieff Morris,30,LAL,199,4.088754886,8.1,15.8,11.8,1.2,2.6,5.4,16.5,0.077,0.516,4,-2.2,0,0.3,0.8,0.2,2.1,PF
445,Evan Turner,31,ATL,251,5.354847458,3.5,13.2,8.4,1.9,3,20.6,16.4,0.262,0.424,1.3,-3.9,-0.1,0.2,-6,-1.1,2.1,PG
446,Jeremiah Martin,23,BRK,99,3.584719405,1.2,9.5,5.6,3.9,1.9,30.8,26.7,0.063,0.541,9.1,4.8,0.2,0.1,3.5,0.5,2,PG
447,Vincent Poirier,26,BOS,130,3.404286592,11.4,25.1,18.4,0.8,7.3,8.5,15.4,0.17,0.525,4.9,1.1,0.1,0.4,1.6,0.6,2,C
