,Name,Age,Team,MP,Tot_Stats,OR%,DR%,TR%,ST%,BLK%,AST%,USG%,TO%,TS%,gBPM,BPM,VORP,L of Im,Q of Im,WinC,Value,Pos
61,Evan Fournier,27,ORL,171,3.330471464019851,1.7,10.7,6.0,1.7,1.8,11.6,18.3,0.122,0.496,4.4,-24.6,-1.0,0.0,-3.7,-0.0,1.7,SG
62,Michael Frazier,25,HOU,7,0.17600000000000002,0.0,32.2,15.7,0.0,0.0,21.7,25.5,0.25,0.5,-4.1,1.2,0.0,0.0,-4.6,-0.0,0.1,SG
63,Markelle Fultz,21,ORL,147,2.86940773620799,0.0,8.1,3.8,1.6,2.1,28.9,22.1,0.171,0.476,0.9,-28.1,-1.0,0.0,-4.6,-0.0,1.4,PG
64,Wenyen Gabriel,22,POR,53,0.9154156171284634,13.8,6.0,9.9,1.8,3.4,12.3,16.4,0.239,0.661,8.4,-21.1,-0.3,0.0,0.0,0.0,0.5,PF
65,Danilo Gallinari,31,OKC,212,4.315540130151844,2.6,15.7,9.4,1.2,0.6,5.5,21.8,0.14,0.569,2.7,-8.8,-0.4,0.0,-1.0,-0.0,2.2,PF
66,Marc Gasol,35,TOR,208,4.051959183673469,2.0,20.8,11.1,0.9,2.6,17.8,16.4,0.193,0.478,2.9,10.8,0.7,0.1,-1.7,-0.1,2.0,C
67,Paul George,29,LAC,359,8.513471143296028,3.2,15.9,9.7,1.7,0.8,15.2,25.9,0.149,0.532,3.5,16.4,1.7,0.1,-1.2,-0.1,4.2,SF
68,Shai Gilgeous-Alexander,21,OKC,279,6.032084698361965,1.2,12.3,6.9,1.2,1.3,16.9,17.8,0.13,0.569,6.1,-5.4,-0.2,0.0,0.4,0.0,3.0,SG
69,Rudy Gobert,27,UTA,270,7.611245674740485,10.6,23.8,17.4,0.8,3.6,4.6,17.6,0.089,0.638,5.4,-2.4,-0.0,0.0,2.9,0.1,3.9,C
70,Eric Gordon,31,HOU,346,7.475474596113322,1.9,7.5,4.6,1.3,2.0,15.0,24.8,0.109,0.539,4.2,9.5,1.0,0.1,-0.8,-0.1,3.7,SF
71,Jerami Grant,25,DEN,382,5.014252026529108,1.5,9.4,5.3,0.6,2.9,5.6,14.7,0.114,0.525,3.9,14.7,1.6,0.1,-3.6,-0.2,2.4,PF
72,Danny Green,32,LAL,215,3.714135102533173,5.2,7.3,6.2,1.8,3.1,6.0,14.2,0.07,0.46,4.8,2.4,0.2,0.1,-1.2,-0.1,1.8,SG
73,JaMychal Green,29,LAC,164,2.7619315589353612,7.0,17.7,12.5,0.3,1.7,3.2,12.5,0.106,0.642,2.8,15.7,0.7,0.0,3.2,0.1,1.4,PF
74,Javonte Green,26,BOS,6,0.098,0.0,17.2,9.2,0.0,0.0,0.0,15.0,0.0,0.75,0.9,3.0,0.0,0.0,6.9,0.0,0.0,SF
75,Jeff Green,33,HOU,290,6.127298401420959,1.5,18.3,9.7,1.0,1.0,9.6,16.0,0.135,0.649,5.6,10.9,0.9,0.1,1.7,0.1,3.1,C
76,Donta Hall,22,BRK,20,0.5449704142011834,14.1,10.8,12.6,0.0,9.6,0.0,16.0,0.129,0.518,0.4,-43.4,-0.2,0.0,-4.4,-0.0,0.3,PF
77,Tim Hardaway Jr.,27,DAL,204,3.4414695512820517,1.6,9.8,5.6,0.5,0.0,8.1,21.7,0.029,0.536,2.5,-15.1,-0.7,0.0,-3.4,-0.1,1.7,SG
78,James Harden,30,HOU,366,14.899055415192858,2.3,15.1,8.6,2.0,1.6,38.9,33.1,0.125,0.64,15.2,20.5,2.1,0.1,4.5,0.5,7.7,SG
79,Montrezl Harrell,26,LAC,186,4.422731433909388,4.9,13.3,9.2,1.3,3.1,3.1,21.9,0.085,0.613,1.4,14.3,0.8,0.0,2.4,0.1,2.3,C
80,Gary Harris,25,DEN,159,2.5085375347544026,2.8,5.3,4.0,3.3,1.9,10.5,14.7,0.156,0.533,6.3,17.1,0.8,0.0,-2.1,-0.1,1.2,SG
81,Joe Harris,28,BRK,72,1.5996445880452341,2.6,27.1,14.0,0.7,0.0,4.7,15.9,0.108,0.666,4.1,-39.7,-0.7,0.0,-2.4,-0.0,0.8,SF
82,Tobias Harris,27,PHI,149,3.6652053832650675,9.9,17.8,13.7,0.7,0.6,19.9,21.5,0.068,0.461,6.9,-50.5,-1.8,0.0,-2.7,-0.0,1.8,PF
